,True,Pred,Diff
2255,224.0,287.5,-63.5
2099,149.0,170.0,-21.0
1813,264.0,49.0,215.0
931,2800.0,2400.0,400.0
1734,753.0,1400.0,-647.0
203,24400.0,42000.0,-17600.0
1274,1600.0,1300.0,300.0
2057,394.0,776.0,-382.0
1454,721.0,465.0,256.0
228,19000.0,36900.0,-17900.0
445,8300.0,6100.0,2200.0
561,5600.0,6400.0,-800.0
1092,2000.0,4000.0,-2000.0
1741,539.0,192.0,347.0
1581,725.0,232.0,493.0
2034,320.0,206.0,114.0
1225,1700.0,1700.0,0.0
548,6700.0,2000.0,4700.0
1898,408.0,1000.0,-592.0
791,2600.0,2000.0,600.0
767,3600.0,9400.0,-5800.0
1882,604.0,830.3333333333334,-226.33333333333337
526,5900.0,6000.0,-100.0
560,6400.0,7000.0,-600.0
454,8200.0,11800.0,-3600.0
588,5200.0,8800.0,-3600.0
4,603600.0,413700.0,189900.0
2159,308.0,584.6666666666666,-276.66666666666663
645,5000.0,2300.0,2700.0
978,2400.0,2300.0,100.0
2033,420.0,287.5,132.5
1425,1200.0,639.0,561.0
2134,324.0,186.0,138.0
656,4600.0,7000.0,-2400.0
367,11700.0,9800.0,1900.0
1653,761.0,188.0,573.0
1146,1700.0,4000.0,-2300.0
297,12700.0,14200.0,-1500.0
2275,126.0,225.0,-99.0
1333,1400.0,2200.0,-800.0
2291,196.0,155.0,41.0
478,8400.0,14500.0,-6100.0
1648,663.0,606.0,57.0
2465,60.0,116.0,-56.0
1937,586.0,185.0,401.0
518,6000.0,5800.0,200.0
515,7100.0,1400.0,5700.0
2024,406.0,541.0,-135.0
1992,353.0,715.0,-362.0
1256,689.0,2500.0,-1811.0
1643,828.0,1100.0,-272.0
1700,803.0,2600.0,-1797.0
1415,1200.0,2100.0,-900.0
2458,71.0,180.0,-109.0
1807,532.0,1100.0,-568.0
1279,932.0,1700.0,-768.0
2276,205.0,376.5,-171.5
1446,900.0,2000.0,-1100.0
443,9200.0,6200.0,3000.0
287,16100.000000000002,12900.0,3200.000000000002
1722,623.0,586.0,37.0
481,7500.0,9100.0,-1600.0
883,2100.0,1200.0,900.0
541,5900.0,9000.0,-3100.0
759,3900.0,2500.0,1400.0
927,2700.0,2800.0,-100.0
751,2200.0,2300.0,-100.0
1772,681.0,519.0,162.0
404,8300.0,14200.0,-5900.0
1008,2300.0,6200.0,-3900.0
2052,305.0,860.0,-555.0
1694,574.0,629.0,-55.0
1714,483.0,333.0,150.0
1325,995.0,1100.0,-105.0
1666,885.0,670.0,215.0
369,11700.0,1400.0,10300.0
1797,644.0,454.0,190.0
1572,931.0,420.0,511.0
1798,543.0,157.0,386.0
1116,1900.0,4200.0,-2300.0
6,567900.0,413300.0,154600.0
482,8100.0,8600.0,-500.0
763,3900.0,3400.0,500.0
2009,435.0,509.0,-74.0
280,16600.0,7600.0,9000.0
1525,730.0,625.0,105.0
108,53700.0,82000.0,-28300.0
777,3400.0,1500.0,1900.0
486,7200.0,7500.0,-300.0
794,3600.0,852.0,2748.0
1876,568.0,380.0,188.0
639,4500.0,3400.0,1100.0
1870,577.0,998.0,-421.0
1227,1600.0,125.0,1475.0
793,3800.0,2100.0,1700.0
171,34200.0,15200.0,19000.0
1018,2400.0,3200.0,-800.0
1167,1900.0,377.0,1523.0
614,4700.0,4500.0,200.0
17,233900.0,182100.0,51800.0
1853,551.0,465.0,86.0
760,3300.0,2800.0,500.0
2304,202.0,290.0,-88.0
368,11500.0,5500.0,6000.0
1474,893.0,459.0,434.0
1360,1300.0,776.0,524.0
1219,1600.0,2600.0,-1000.0
1393,1000.0,853.0,147.0
1339,948.0,644.0,304.0
746,3700.0,2800.0,900.0
1744,612.0,518.0,94.0
1050,1700.0,2800.0,-1100.0
330,12600.0,18900.0,-6300.0
2124,330.0,839.0,-509.0
107,52100.0,68100.0,-16000.0
1121,1800.0,2900.0,-1100.0
1594,921.0,1300.0,-379.0
1363,1000.0,999.0,1.0
1551,752.0,1500.0,-748.0
1835,428.0,461.0,-33.0
1441,774.0,1900.0,-1126.0
1736,629.0,1100.0,-471.0
1241,1000.0,1600.0,-600.0
219,23300.0,9800.0,13500.0
2251,231.0,998.0,-767.0
1079,1600.0,1600.0,0.0
961,2700.0,1800.0,900.0
832,3300.0,848.0,2452.0
545,6800.0,9800.0,-3000.0
781,3000.0,9000.0,-6000.0
2043,194.0,135.0,59.0
120,46500.0,34500.0,12000.0
2044,148.0,260.0,-112.0
1033,1800.0,1700.0,100.0
1659,712.0,907.0,-195.0
714,3000.0,3900.0,-900.0
1419,1100.0,430.0,670.0
528,7200.0,1300.0,5900.0
1452,766.0,5300.0,-4534.0
672,4800.0,3400.0,1400.0
1423,701.0,866.0,-165.0
990,2400.0,848.0,1552.0
2466,66.0,54.0,12.0
397,7900.0,5200.0,2700.0
1695,794.0,314.0,480.0
933,2200.0,1900.0,300.0
1680,350.0,293.0,57.0
2116,416.0,1000.0,-584.0
2094,351.0,551.0,-200.0
655,5000.0,2300.0,2700.0
40,110600.0,184400.0,-73800.0
1235,1300.0,859.0,441.0
58,102900.0,36100.0,66800.0
556,6200.0,22200.0,-16000.0
1463,1000.0,2700.0,-1700.0
1391,1000.0,1100.0,-100.0
771,3900.0,2900.0,1000.0
2461,66.0,114.0,-48.0
1299,1400.0,385.0,1015.0
2187,336.0,95.0,241.0
1916,525.0,146.0,379.0
1238,1200.0,753.0,447.0
426,7900.0,10200.0,-2300.0
2042,211.0,125.0,86.0
56,103500.0,184400.0,-80900.0
2357,105.0,91.0,14.0
728,4300.0,1700.0,2600.0
1447,1100.0,3300.0,-2200.0
886,2900.0,2900.0,0.0
775,3700.0,9800.0,-6100.0
1836,347.0,190.0,157.0
195,26400.0,13500.0,12900.0
609,5000.0,9500.0,-4500.0
1498,1000.0,316.0,684.0
1919,224.0,143.0,81.0
1906,565.0,148.0,417.0
850,3200.0,2400.0,800.0
50,103300.0,90300.0,13000.0
2199,286.0,255.5,30.5
1411,1100.0,546.0,554.0
1794,444.0,203.0,241.0
1841,305.0,465.0,-160.0
2328,166.0,1300.0,-1134.0
65,85600.0,75000.0,10600.0
1664,806.0,1130.5,-324.5
1135,1400.0,1600.0,-200.0
1464,907.0,739.0,168.0
2297,109.0,351.0,-242.0
522,6800.0,16000.0,-9200.0
1015,1900.0,2100.0,-200.0
573,5400.0,11800.0,-6400.0
469,7400.0,10800.0,-3400.0
2327,167.0,380.0,-213.0
47,110800.0,184400.0,-73600.0
1374,1200.0,2100.0,-900.0
788,3700.0,718.0,2982.0
686,3800.0,4500.0,-700.0
1932,472.0,283.0,189.0
1187,1800.0,1300.0,500.0
1012,1400.0,4800.0,-3400.0
1083,2100.0,657.5,1442.5
81,63200.0,67800.0,-4600.0
704,4300.0,3700.0,600.0
111,54900.0,31600.0,23300.0
971,2200.0,865.0,1335.0
1487,1100.0,533.0,567.0
1186,1600.0,726.0,874.0
580,5700.0,12700.0,-7000.0
1077,1500.0,1900.0,-400.0
119,37500.0,53100.0,-15600.0
2184,301.0,754.0,-453.0
1616,587.0,502.5,84.5
2038,356.0,369.0,-13.0
304,14600.0,2300.0,12300.0
2142,219.0,455.5,-236.5
1202,1500.0,2900.0,-1400.0
314,14900.0,9800.0,5100.0
1951,311.0,701.0,-390.0
306,15400.0,2000.0,13400.0
1793,580.0,728.0,-148.0
2240,238.0,287.5,-49.5
1563,836.0,789.0,47.0
322,13300.0,10300.0,3000.0
2441,85.0,83.0,2.0
908,2800.0,1800.0,1000.0
706,4200.0,4000.0,200.0
1010,1600.0,3300.0,-1700.0
126,46600.0,36400.0,10200.0
2173,292.0,412.0,-120.0
1837,607.0,321.0,286.0
439,7100.0,8600.0,-1500.0
989,2300.0,3200.0,-900.0
570,5400.0,2500.0,2900.0
194,26000.0,19000.0,7000.0
1354,1200.0,862.0,338.0
1535,614.0,268.0,346.0
1514,1000.0,597.5,402.5
275,14600.0,23400.0,-8800.0
1971,382.0,455.5,-73.5
1281,1400.0,1100.0,300.0
1481,1100.0,998.0,102.0
500,6700.0,4800.0,1900.0
282,15500.0,7000.0,8500.0
285,16300.0,12400.0,3900.0
942,2800.0,1800.0,1000.0
897,2800.0,1300.0,1500.0
2046,305.0,351.5,-46.5
208,23700.0,3300.0,20400.0
1213,1200.0,5500.0,-4300.0
1817,440.0,479.0,-39.0
2345,171.0,76.0,95.0
102,58800.0,16900.0,41900.0
1759,600.0,455.5,144.5
429,9100.0,6300.0,2800.0
292,15400.0,7600.0,7800.0
2440,106.0,175.0,-69.0
919,2400.0,1600.0,800.0
603,5500.0,2500.0,3000.0
2376,133.0,412.0,-279.0
1242,1400.0,1800.0,-400.0
2171,314.0,236.66666666666666,77.33333333333334
2129,226.0,258.0,-32.0
2490,69.0,125.0,-56.0
1952,391.0,41.0,350.0
680,4500.0,1700.0,2800.0
2212,61.0,125.0,-64.0
1151,1900.0,963.0,937.0
465,7700.0,8700.0,-1000.0
1133,1800.0,3800.0,-2000.0
621,5700.0,2000.0,3700.0
806,3400.0,2500.0,900.0
1309,1300.0,2300.0,-1000.0
2220,269.0,195.0,74.0
1066,1800.0,1400.0,400.0
558,6700.0,4100.0,2600.0
1574,910.0,283.0,627.0
2002,243.0,143.0,100.0
487,7700.0,4600.0,3100.0
739,4000.0,7700.0,-3700.0
2321,171.0,412.0,-241.0
811,3500.0,7100.0,-3600.0
2252,228.0,248.5,-20.5
2361,143.0,140.0,3.0
496,7600.0,6600.0,1000.0
562,5600.0,9100.0,-3500.0
2382,206.0,1000.0,-794.0
1406,1100.0,3800.0,-2700.0
536,7200.0,4100.0,3100.0
1136,1900.0,569.0,1331.0
440,8900.0,9900.0,-1000.0
2207,338.0,322.0,16.0
1948,435.0,141.0,294.0
1546,374.0,2100.0,-1726.0
1729,639.0,198.0,441.0
1747,409.0,1100.0,-691.0
766,3300.0,1500.0,1800.0
906,2500.0,967.0,1533.0
1051,2200.0,4800.0,-2600.0
1667,42.0,5500.0,-5458.0
2493,104.0,130.0,-26.0
1130,1600.0,2300.0,-700.0
2281,203.0,270.6,-67.60000000000002
1026,2100.0,760.0,1340.0
1970,393.0,351.5,41.5
1908,336.0,317.0,19.0
2177,370.0,36.0,334.0
2301,184.0,146.0,38.0
829,3500.0,5200.0,-1700.0
1768,163.0,521.0,-358.0
2075,374.0,865.0,-491.0
398,10000.0,20600.0,-10600.0
1597,637.0,580.0,57.0
1291,1300.0,315.0,985.0
923,2500.0,1100.0,1400.0
441,8800.0,12600.0,-3800.0
1318,1400.0,2600.0,-1200.0
1621,881.0,83.0,798.0
838,2600.0,2300.0,300.0
1983,458.0,509.0,-51.0
1001,2400.0,4200.0,-1800.0
1417,932.0,3800.0,-2868.0
1479,590.0,716.0,-126.0
1547,834.0,1200.0,-366.0
1819,622.0,776.0,-154.0
1204,1700.0,721.0,979.0
270,16000.0,28400.0,-12400.0
2067,403.0,294.0,109.0
1231,1500.0,907.0,593.0
599,5800.0,9200.0,-3400.0
1684,786.0,698.0,88.0
840,2400.0,2400.0,0.0
1386,1100.0,546.0,554.0
2322,170.0,220.8,-50.80000000000001
2411,107.0,120.0,-13.0
1884,582.0,236.66666666666666,345.33333333333337
1809,367.0,736.0,-369.0
643,5100.0,6200.0,-1100.0
1959,483.0,638.0,-155.0
1492,1000.0,1100.0,-100.0
713,4100.0,10600.0,-6500.0
2310,176.0,725.5,-549.5
774,3300.0,4200.0,-900.0
1076,2200.0,3200.0,-1000.0
2363,42.0,120.0,-78.0
54,102300.0,178900.0,-76600.0
2206,159.0,206.0,-47.0
684,4400.0,3900.0,500.0
509,6800.0,6300.0,500.0
192,28000.0,38400.0,-10400.0
341,12100.0,39500.0,-27400.0
693,4500.0,9300.0,-4800.0
1395,1000.0,1500.0,-500.0
1232,1400.0,1100.0,300.0
1923,439.0,1100.0,-661.0
1124,1800.0,456.0,1344.0
75,77600.0,47200.0,30400.0
1148,1800.0,2650.0,-850.0
130,40800.0,47800.0,-7000.0
991,2400.0,5000.0,-2600.0
2475,105.0,179.0,-74.0
1439,1200.0,839.0,361.0
752,2600.0,3800.0,-1200.0
1164,1800.0,298.0,1502.0
670,4600.0,4600.0,0.0
93,64400.00000000001,16900.0,47500.00000000001
1300,1100.0,1400.0,-300.0
255,15600.0,16000.0,-400.0
2137,321.0,426.0,-105.0
1607,823.0,390.0,433.0
1689,398.0,716.0,-318.0
2438,88.0,412.0,-324.0
940,2200.0,4800.0,-2600.0
2175,350.0,453.0,-103.0
2369,179.0,188.0,-9.0
593,5600.0,16000.0,-10400.0
347,12800.0,1400.0,11400.0
1346,846.0,734.0,112.0
1891,458.0,1600.0,-1142.0
1461,588.0,1900.0,-1312.0
1319,1400.0,6000.0,-4600.0
1861,506.0,940.0,-434.0
349,10700.0,9000.0,1700.0
1096,1800.0,3200.0,-1400.0
1090,2100.0,1500.0,600.0
2307,263.0,1000.0,-737.0
336,12900.0,7700.0,5200.0
640,4600.0,3500.0,1100.0
2107,342.0,336.2,5.800000000000011
1874,593.0,722.0,-129.0
231,19200.0,42700.0,-23500.0
1560,478.0,1900.0,-1422.0
1610,836.0,1600.0,-764.0
2464,100.0,126.0,-26.0
2245,275.0,351.0,-76.0
371,11000.0,9500.0,1500.0
2384,126.0,584.6666666666666,-458.66666666666663
1918,382.0,546.0,-164.0
1214,1300.0,1200.0,100.0
864,3200.0,2100.0,1100.0
862,2400.0,4500.0,-2100.0
1827,513.0,354.0,159.0
1205,1500.0,569.0,931.0
2309,178.0,50.0,128.0
1726,402.0,342.0,60.0
676,4200.0,5500.0,-1300.0
1255,1100.0,2100.0,-1000.0
1969,533.0,114.0,419.0
2492,27.0,52.0,-25.0
787,3400.0,10600.0,-7200.0
1519,987.0,1100.0,-113.0
433,9300.0,14900.0,-5600.0
1131,1300.0,2100.0,-800.0
2295,193.0,116.0,77.0
236,20600.0,29300.0,-8700.0
1345,1400.0,906.0,494.0
733,4200.0,1800.0,2400.0
1296,779.0,447.0,332.0
554,5900.0,13100.0,-7200.0
2182,181.0,582.0,-401.0
1427,1200.0,1100.0,100.0
2279,244.0,768.0,-524.0
708,4600.0,5600.0,-1000.0
1810,326.0,560.0,-234.0
938,2300.0,3200.0,-900.0
2413,105.0,46.0,59.0
2418,100.0,333.0,-233.0
1457,418.0,610.0,-192.0
1038,2200.0,1600.0,600.0
2334,162.0,83.0,79.0
1210,1700.0,1000.0,700.0
1517,827.0,524.0,303.0
242,18500.0,18700.0,-200.0
624,5300.0,6900.0,-1600.0
1389,1000.0,1300.0,-300.0
1750,408.0,333.0,75.0
1526,594.0,1100.0,-506.0
216,20800.0,28500.0,-7700.0
1165,1600.0,647.0,953.0
1962,482.0,248.5,233.5
1899,447.0,218.0,229.0
1049,2100.0,569.0,1531.0
808,3000.0,4700.0,-1700.0
206,23300.0,14600.0,8700.0
2102,226.0,115.0,111.0
30,148000.0,138300.0,9700.0
258,16400.0,20600.0,-4200.0
134,41600.0,47200.0,-5600.0
1160,1800.0,1250.0,550.0
1795,484.0,1000.0,-516.0
817,3000.0,13100.0,-10100.0
1247,1400.0,1700.0,-300.0
241,18400.0,14600.0,3800.0
2019,510.0,565.0,-55.0
2144,137.0,120.0,17.0
