name,price_type,rating,rating_count,url,click,view
pavlov:shack,free,4.54,1677.0,https://sidequestvr.com/app/392/pavlov-shack,1.4M,2M
attackonquest,free,4.55,1176.0,https://sidequestvr.com/app/502/attack-on-quest,833k,1.5M
virtualdesktop,paid,4.49,575.0,https://sidequestvr.com/app/16/virtual-desktop,854.3k,1.3M
questcraft,opensource,3.54,1243.0,https://sidequestvr.com/app/7150/questcraft,759.1k,1.1M
physicsplayground(experimental),demo,4.48,936.0,https://sidequestvr.com/app/218/physics-playground-experimental,603.6k,1.1M
gorillatag,free,4.73,1216.0,https://sidequestvr.com/app/2157/gorilla-tag,538.4k,824.4k
bmbf,free,4.04,541.0,https://sidequestvr.com/app/747/bmbf,567.9k,768.2k
battletalent,demo,4.72,623.0,https://sidequestvr.com/app/2348/battle-talent,413.3k,663.3k
crisisvrigade,paid,4.52,446.0,https://sidequestvr.com/app/38/crisis-vrigade,413.7k,906.2k
v-speedway,free,4.49,227.0,https://sidequestvr.com/app/458/v-speedway,383.1k,598k
discovery,free,3.53,116.0,https://sidequestvr.com/app/3002/discovery,389k,839.9k
ancientdungeon,paid,4.88,574.0,https://sidequestvr.com/app/1520/ancient-dungeon,325.9k,640.2k
handphysicslab,paid,4.45,180.0,https://sidequestvr.com/app/750/hand-physics-lab,330.1k,564.2k
doom3quest,opensource,4.68,204.0,https://sidequestvr.com/app/2651/doom3quest,243.4k,579.5k
sportmode,paid,4.75,237.0,https://sidequestvr.com/app/3751/sport-mode,238k,390k
teaforgod(underdevelopment),prerelease,4.75,446.0,https://sidequestvr.com/app/65/tea-for-god-under-development,216.8k,500.7k
hyperdash,paid,4.79,464.0,https://sidequestvr.com/app/807/hyper-dash,207.8k,438k
fivenightsatfreddy'ssisterlocationvrfangame,free,4.32,120.0,https://sidequestvr.com/app/2233/five-nights-at-freddys-sister-location-vr-fan-game,233.9k,428.8k
lambda1vr-half-lifeinvr,opensource,4.46,289.0,https://sidequestvr.com/app/124/lambda1vr-half-life-in-vr,214.1k,633.3k
