name,price_type,rating,rating_count,url
pavlov:shack,free,4.54,1677,https://sidequestvr.com/app/392/pavlov-shack
attackonquest,free,4.55,1176,https://sidequestvr.com/app/502/attack-on-quest
virtualdesktop,paid,4.49,575,https://sidequestvr.com/app/16/virtual-desktop
questcraft,opensource,3.54,1243,https://sidequestvr.com/app/7150/questcraft
physicsplayground(experimental),demo,4.48,936,https://sidequestvr.com/app/218/physics-playground-experimental
gorillatag,free,4.73,1216,https://sidequestvr.com/app/2157/gorilla-tag
bmbf,free,4.04,541,https://sidequestvr.com/app/747/bmbf
battletalent,demo,4.72,623,https://sidequestvr.com/app/2348/battle-talent
crisisvrigade,paid,4.52,446,https://sidequestvr.com/app/38/crisis-vrigade
v-speedway,free,4.49,227,https://sidequestvr.com/app/458/v-speedway
discovery,free,3.53,116,https://sidequestvr.com/app/3002/discovery
ancientdungeon,paid,4.88,574,https://sidequestvr.com/app/1520/ancient-dungeon
handphysicslab,paid,4.45,180,https://sidequestvr.com/app/750/hand-physics-lab
doom3quest,opensource,4.68,204,https://sidequestvr.com/app/2651/doom3quest
sportmode,paid,4.75,237,https://sidequestvr.com/app/3751/sport-mode
teaforgod(underdevelopment),prerelease,4.75,446,https://sidequestvr.com/app/65/tea-for-god-under-development
hyperdash,paid,4.79,464,https://sidequestvr.com/app/807/hyper-dash
fivenightsatfreddy'ssisterlocationvrfangame,free,4.32,120,https://sidequestvr.com/app/2233/five-nights-at-freddys-sister-location-vr-fan-game
lambda1vr-half-lifeinvr,opensource,4.46,289,https://sidequestvr.com/app/124/lambda1vr-half-life-in-vr
hibow(betaversion),prerelease,4.65,411,https://sidequestvr.com/app/967/hibow-beta-version
brisksquare-earlyaccess,free,4.77,191,https://sidequestvr.com/app/3944/brisk-square-early-access
deisim,paid,4.7,279,https://sidequestvr.com/app/85/deisim
questzdoom,free,4.82,198,https://sidequestvr.com/app/796/questzdoom
voxelworksquest(prototype),opensource,3.94,238,https://sidequestvr.com/app/431/voxel-works-quest-prototype
gymclass-basketballvr,prerelease,4.59,138,https://sidequestvr.com/app/1781/gym-class-basketball-vr
vrtuos,free,4.13,77,https://sidequestvr.com/app/494/vrtuos
paradiddle,prerelease,4.59,75,https://sidequestvr.com/app/1524/paradiddle
warplanes:ww1fighters,paid,4.75,204,https://sidequestvr.com/app/2536/warplanes-ww1-fighters
grannyvr(unofficial),free,4.32,69,https://sidequestvr.com/app/3585/granny-vr-unofficial
fridaynightfunkin'vr,opensource,4.06,239,https://sidequestvr.com/app/4089/friday-night-funkin-vr
alvr-oculusquest,opensource,3.9,121,https://sidequestvr.com/app/9/alvr-oculus-quest
hax,free,4.79,193,https://sidequestvr.com/app/3366/hax
oceancraft-applab+demo,demo,4.54,85,https://sidequestvr.com/app/3001/oceancraft-applab-demo
yur,free,4.52,290,https://sidequestvr.com/app/270/yur
customhome:minecraftvillage,free,4.28,74,https://sidequestvr.com/app/3899/custom-home-minecraft-village
touringkarts,free,3.84,44,https://sidequestvr.com/app/4262/touring-karts
climbeydemo,free,4.5,109,https://sidequestvr.com/app/331/climbey-demo
projectterminusbeta,demo,4.55,195,https://sidequestvr.com/app/467/project-terminus-beta
sail-freedemo,demo,4.23,102,https://sidequestvr.com/app/1339/sail-free-demo
gunraiders,free,4.59,99,https://sidequestvr.com/app/3391/gun-raiders
travrsal-entertheholodeck,prerelease,4.75,195,https://sidequestvr.com/app/449/travrsal-enter-the-holodeck
gladius,paidprerelease,4.65,100,https://sidequestvr.com/app/1707/gladius
liminal,free,4.72,107,https://sidequestvr.com/app/1042/liminal
groovr-airdrumming,paidprerelease,4.18,85,https://sidequestvr.com/app/1672/groovr-air-drumming
contractorsvrquest,paid,4.41,212,https://sidequestvr.com/app/1205/contractors-vr-quest
ultraheight:mistcityclimb,paid,4.87,31,https://sidequestvr.com/app/3515/ultra-height-mist-city-climb
descentalps,paid,4.45,121,https://sidequestvr.com/app/668/descent-alps
tritonvr,prerelease,4.18,79,https://sidequestvr.com/app/433/triton-vr
puzzlingplaces,paid,4.92,450,https://sidequestvr.com/app/809/puzzling-places
plutosphere,prerelease,4.4,439,https://sidequestvr.com/app/3247/plutosphere
vanishinggrace-pre-alphademo,demo,4.52,139,https://sidequestvr.com/app/772/vanishing-grace-pre-alpha-demo
crisisvrigade2,paid,4.46,48,https://sidequestvr.com/app/2927/crisis-vrigade-2
play'avrvideoplayer,free,3.2,35,https://sidequestvr.com/app/280/playa-vr-video-player
attackontitanvr:byslavkaquestport,free,4.16,102,https://sidequestvr.com/app/6399/attack-on-titan-vr-by-slavka-quest-port
revomon(beta),prerelease,3.71,158,https://sidequestvr.com/app/4936/revomon-beta
thesilkworm,free,4.08,37,https://sidequestvr.com/app/3904/the-silkworm
harvestvr,prerelease,4.36,69,https://sidequestvr.com/app/1014/harvest-vr
gunworldvr,demo,4.17,36,https://sidequestvr.com/app/5220/gunworld-vr
pick-upleaguehockey,paid,4.35,37,https://sidequestvr.com/app/22/pick-up-league-hockey
(unofficial)slendermantheeightpagesvr,free,3.99,84,https://sidequestvr.com/app/787/unofficial-slenderman-the-eight-pages-vr
let'sgochopping!-earlyaccessdemo,demo,4.61,121,https://sidequestvr.com/app/1585/lets-go-chopping-early-access-demo
quake2quest,opensource,4.9,80,https://sidequestvr.com/app/353/quake2quest
birdrunners,free,4.18,228,https://sidequestvr.com/app/7310/bird-runners
questapplauncher,free,4.11,45,https://sidequestvr.com/app/199/quest-app-launcher
weareonedemo,prerelease,4.92,248,https://sidequestvr.com/app/724/we-are-one-demo
returntocastlewolfensteinvr,opensource,4.81,131,https://sidequestvr.com/app/1446/return-to-castle-wolfenstein-vr
carparkingsimulator,paid,4.67,55,https://sidequestvr.com/app/812/car-parking-simulator
missionx,free,4.11,27,https://sidequestvr.com/app/474/mission-x
highseas,free,4.24,90,https://sidequestvr.com/app/359/high-seas
vrworkout-bootcamp,free,4.65,77,https://sidequestvr.com/app/413/vrworkout-bootcamp
operationserpens,paid,4.75,362,https://sidequestvr.com/app/1197/operation-serpens
verticalshift,free,4.59,44,https://sidequestvr.com/app/3174/vertical-shift
ultrarealrunner:spacemission(naturallocomotionfitnessworkout),paid,4.8,15,https://sidequestvr.com/app/5151/ultra-real-runner-space-mission-natural-locomotion-fitness-workout
gizmovrvideoplayer,free,2.3,10,https://sidequestvr.com/app/2442/gizmovr-video-player
enhancevr-newgameandcontent!,free,4.44,52,https://sidequestvr.com/app/307/enhance-vr-new-game-and-content
all-in-onesportsvr,paid,4.56,41,https://sidequestvr.com/app/4908/all-in-one-sports-vr
carrieraircraft,free,4.06,36,https://sidequestvr.com/app/6087/carrier-aircraft
crazykungfu-demo,demo,4.74,112,https://sidequestvr.com/app/1051/crazy-kung-fu-demo
tothetop,paid,4.74,62,https://sidequestvr.com/app/358/to-the-top
grab,prerelease,4.61,41,https://sidequestvr.com/app/4222/grab
rangedayvr,paid,4.43,46,https://sidequestvr.com/app/583/range-day-vr
nomorerainbows,free,4.82,116,https://sidequestvr.com/app/5818/no-more-rainbows
quakequest,free,4.76,62,https://sidequestvr.com/app/93/quakequest
handspace,free,4.07,45,https://sidequestvr.com/app/578/handspace
cards&tankards,free,4.88,268,https://sidequestvr.com/app/3732/cards-tankards
customhome:fnaf1office,free,3.97,35,https://sidequestvr.com/app/6605/custom-home-fnaf-1-office
shootingarena,prerelease,4.83,171,https://sidequestvr.com/app/1072/shooting-arena
zenvr,paid,4.18,28,https://sidequestvr.com/app/5026/zenvr
waryards,prerelease,4.48,56,https://sidequestvr.com/app/1355/war-yards
projectstardust,free,3.67,18,https://sidequestvr.com/app/1697/project-stardust
petsvr,paid,4.28,25,https://sidequestvr.com/app/2903/pets-vr
cosmicflow:arelaxingvrexperience,free,4.77,111,https://sidequestvr.com/app/567/cosmic-flow-a-relaxing-vr-experience
barbershopsimulator,paid,3.93,40,https://sidequestvr.com/app/3915/barbershop-simulator
customhome:rick&mortygaragecel-shaded,free,3.52,25,https://sidequestvr.com/app/3906/custom-home-rick-morty-garage-cel-shaded
openbrush,free,4.52,54,https://sidequestvr.com/app/2852/open-brush
lightsabertrainingvr,free,2.71,21,https://sidequestvr.com/app/5101/lightsaber-training-vr
axegenddemo,demo,4.64,99,https://sidequestvr.com/app/656/axegend-demo
synthridersdemo,demo,4.81,59,https://sidequestvr.com/app/2185/synth-riders-demo
battlearenavr,free,4.0,23,https://sidequestvr.com/app/1824/battle-arena-vr
projectdemigod-demo,free,4.6,57,https://sidequestvr.com/app/7586/project-demigod-demo
smashdrums!,paid,4.79,73,https://sidequestvr.com/app/1465/smash-drums
frenzyvr,paid,3.88,24,https://sidequestvr.com/app/5688/frenzy-vr
gorillasoccer,free,4.45,33,https://sidequestvr.com/app/7892/gorilla-soccer
happyrun!,prerelease,4.35,135,https://sidequestvr.com/app/2104/happy-run
advancedplayerphysicsdemo,free,3.0,34,https://sidequestvr.com/app/6059/advanced-player-physics-demo
agentsimulationdemo,demo,4.4,15,https://sidequestvr.com/app/5199/agent-simulation-demo
webguyvr,demo,4.5,46,https://sidequestvr.com/app/6331/web-guy-vr
arrows,demo,4.5,72,https://sidequestvr.com/app/517/arrows
mutatedvirus,paid,4.83,46,https://sidequestvr.com/app/2351/mutated-virus
bionichunter:theancientsword,paid,4.9,49,https://sidequestvr.com/app/2364/bionic-hunter-the-ancient-sword
arcaxerdemo,demo,4.74,98,https://sidequestvr.com/app/549/arcaxer-demo
tinycastles,free,4.47,17,https://sidequestvr.com/app/3352/tiny-castles
3dorganonvranatomy,free,3.62,26,https://sidequestvr.com/app/393/3d-organon-vr-anatomy
customhome:spongebob-krustykrab,free,3.97,30,https://sidequestvr.com/app/4009/custom-home-spongebob-krusty-krab
daysofheroes:d-day,demo,4.38,29,https://sidequestvr.com/app/3557/days-of-heroes-d-day
mysteryforestvr,prerelease,3.95,83,https://sidequestvr.com/app/856/mystery-forest-vr
seekervr,free,4.63,73,https://sidequestvr.com/app/5096/seeker-vr
physicsbowling,free,3.89,19,https://sidequestvr.com/app/472/physics-bowling
questzdoomlauncher,free,4.84,43,https://sidequestvr.com/app/802/questzdoom-launcher
hitstream,prerelease,4.89,144,https://sidequestvr.com/app/1086/hitstream
blade&sorcery:nomad,paid,4.39,54,https://sidequestvr.com/app/5732/blade-sorcery-nomad
mr.scribbles,prerelease,4.63,38,https://sidequestvr.com/app/444/mr-scribbles
sidequestmobile,free,4.79,14,https://sidequestvr.com/app/6125/sidequest-mobile
hyperstacks,demo,4.8,41,https://sidequestvr.com/app/1415/hyperstacks
ninjalegendsdemo,demo,4.67,24,https://sidequestvr.com/app/284/ninja-legends-demo
thefight,paid,3.67,9,https://sidequestvr.com/app/2267/the-fight
cinevr,free,3.0,26,https://sidequestvr.com/app/1523/cinevr
ultraclimbingplaygrounds,free,4.5,16,https://sidequestvr.com/app/4472/ultra-climbing-playgrounds
redlightgreenlight,free,4.6,10,https://sidequestvr.com/app/5480/red-light-green-light
cubism,paid,4.74,62,https://sidequestvr.com/app/403/cubism
cybercade,free,4.83,69,https://sidequestvr.com/app/1681/cybercade
blackholepool,demo,4.11,44,https://sidequestvr.com/app/3498/black-hole-pool
arkio,free,4.55,22,https://sidequestvr.com/app/2291/arkio
backrooms,free,4.15,27,https://sidequestvr.com/app/4672/backrooms
realmsofeternity,paidprerelease,4.62,39,https://sidequestvr.com/app/881/realms-of-eternity
oathbreakers,paid,4.71,58,https://sidequestvr.com/app/1395/oathbreakers
templek,free,3.66,65,https://sidequestvr.com/app/372/temple-k
simpsonsroom-animatedtv,free,4.18,17,https://sidequestvr.com/app/3963/simpsons-room-animated-tv
sunshard-combatdemo,free,4.44,78,https://sidequestvr.com/app/225/sun-shard-combat-demo
notspiderman,prerelease,3.81,16,https://sidequestvr.com/app/6033/not-spiderman
grandreality:vrpianoapp,free,4.12,33,https://sidequestvr.com/app/476/grand-reality-vr-piano-app
airbrigadeprototypetestflight,prerelease,3.66,35,https://sidequestvr.com/app/368/air-brigade-prototype-test-flight
simpleplanesvr,paid,4.62,13,https://sidequestvr.com/app/4820/simpleplanes-vr
gunworldvr-freedemo,free,4.2,15,https://sidequestvr.com/app/5780/gunworld-vr-free-demo
moonrider,opensource,4.49,97,https://sidequestvr.com/app/951/moon-rider
sunshard:handtrackingdemo-mightofthegods,demo,4.35,40,https://sidequestvr.com/app/400/sun-shard-hand-tracking-demo-might-of-the-gods
fencer-demo,free,2.1,10,https://sidequestvr.com/app/4871/fencer-demo
hauntedwarehouse,free,4.36,11,https://sidequestvr.com/app/1015/haunted-warehouse
npskillslabs,demo,3.0,11,https://sidequestvr.com/app/1361/np-skills-labs
spacesalvagedemo,demo,4.8,25,https://sidequestvr.com/app/5898/space-salvage-demo
sidequestinsideyourvrheadset:sideception,prerelease,4.67,30,https://sidequestvr.com/app/9473/sidequest-inside-your-vr-headset-sideception
tennisleaguevr-earlyaccessdemo,free,4.24,17,https://sidequestvr.com/app/4953/tennis-league-vr-early-access-demo
fugitive3d,opensource,4.21,14,https://sidequestvr.com/app/1192/fugitive-3d
pokequestvr,free,4.76,54,https://sidequestvr.com/app/6041/pokequest-vr
virtuoso,paid,4.93,43,https://sidequestvr.com/app/1295/virtuoso
ascending-dojo(alphatechdemo),demo,4.5,36,https://sidequestvr.com/app/3761/ascending-dojo-alpha-tech-demo
virtualpiano(alpha),free,3.67,15,https://sidequestvr.com/app/402/virtualpiano-alpha
virtualboygo,opensource,4.8,56,https://sidequestvr.com/app/125/virtualboygo
replika(earlyaccess),free,3.33,45,https://sidequestvr.com/app/5370/replika-early-access
blobbytennis,free,3.33,15,https://sidequestvr.com/app/253/blobby-tennis
freddyfazbear'spizzeriasimulatorvrfangame,free,4.33,15,https://sidequestvr.com/app/2463/freddy-fazbears-pizzeria-simulator-vr-fan-game
airhockeyvr(physicallybasedmultiplayer/aibots),free,4.37,19,https://sidequestvr.com/app/4709/airhockeyvr-physically-based-multiplayer-ai-bots
vridge2,demo,2.8,30,https://sidequestvr.com/app/10/vridge-2
mythicmage,paid,4.07,27,https://sidequestvr.com/app/1462/mythic-mage
guardiansvr,paidprerelease,4.86,37,https://sidequestvr.com/app/2804/guardians-vr
grappletournamentdemo,free,4.91,11,https://sidequestvr.com/app/5231/grapple-tournament-demo
skysquadron,demo,4.48,31,https://sidequestvr.com/app/1343/sky-squadron
cactuscowboyportalvr,free,4.63,46,https://sidequestvr.com/app/1049/cactus-cowboy-portal-vr
customhome:minecraftbedwarslobby,free,4.33,12,https://sidequestvr.com/app/3909/custom-home-minecraft-bedwars-lobby
z-racedemo,demo,4.64,44,https://sidequestvr.com/app/4811/z-race-demo
bigballersbasketball,paidprerelease,4.56,9,https://sidequestvr.com/app/4616/big-ballers-basketball
meteoricvr,free,5.0,13,https://sidequestvr.com/app/6092/meteoric-vr
racket:nxdemo,demo,4.78,27,https://sidequestvr.com/app/2457/racket-nx-demo
ultrashooter:jurassicdinosaurs(shoot'emupdinohunter),paid,4.67,15,https://sidequestvr.com/app/5614/ultra-shooter-jurassic-dinosaurs-shootem-up-dino-hunter
ancientdungeonbeta,free,4.36,14,https://sidequestvr.com/app/5713/ancient-dungeon-beta
gladiatus,free,4.5,6,https://sidequestvr.com/app/4137/gladiatus
canyoudoit-vrexperience,paid,4.06,16,https://sidequestvr.com/app/3219/can-you-do-it-vr-experience
findmyphoneapp-thegame,free,5.0,14,https://sidequestvr.com/app/2939/find-my-phone-app-the-game
volleggball-demo,free,4.41,22,https://sidequestvr.com/app/2230/volleggball-demo
exvriencegolfclub,paidprerelease,4.11,19,https://sidequestvr.com/app/1621/exvrience-golf-club
handparticle,free,4.72,36,https://sidequestvr.com/app/2012/handparticle
duckhuntvr,free,4.27,26,https://sidequestvr.com/app/4737/duck-hunt-vr
marineversecup-sailing,prerelease,4.63,24,https://sidequestvr.com/app/324/marineverse-cup-sailing
customhome:matrix-loadingvoid,free,3.87,15,https://sidequestvr.com/app/3942/custom-home-matrix-loading-void
phin:physicssandboxalpha,prerelease,4.42,57,https://sidequestvr.com/app/4382/phin-physics-sandbox-alpha
dvg:conqueringgiantsdemo,free,3.63,8,https://sidequestvr.com/app/3665/dvg-conquering-giants-demo
ghostsinthemachine,free,4.52,33,https://sidequestvr.com/app/1467/ghosts-in-the-machine
catchasers,free,4.3,71,https://sidequestvr.com/app/7323/cat-chasers
customhomemapper,paid,4.4,45,https://sidequestvr.com/app/1701/custom-home-mapper
escapeterrorist,free,3.67,9,https://sidequestvr.com/app/2421/escape-terrorist
handtrackingdemos,free,4.28,18,https://sidequestvr.com/app/398/hand-tracking-demos
deadsecond,paid,4.86,37,https://sidequestvr.com/app/5707/dead-second
cat,free,3.4,5,https://sidequestvr.com/app/1579/cat
blacktophoops-vrbasketball,free,4.78,32,https://sidequestvr.com/app/8231/blacktop-hoops-vr-basketball
marathrunfullgamepre-release[alphaversion],prerelease,4.6,20,https://sidequestvr.com/app/3747/marathrun-full-game-pre-release-alpha-version
attackonreality,free,3.5,18,https://sidequestvr.com/app/2407/attack-on-reality
customhome:naruto,free,4.58,12,https://sidequestvr.com/app/3956/custom-home-naruto
gamebov,free,4.11,62,https://sidequestvr.com/app/1199/gamebov
songbeater:quitemytempo!,paid,4.46,54,https://sidequestvr.com/app/385/song-beater-quite-my-tempo
pioneer:endlessjourney,free,4.7,69,https://sidequestvr.com/app/6960/pioneer-endless-journey
granny2vr(unofficial),prerelease,4.36,14,https://sidequestvr.com/app/4663/granny-2-vr-unofficial
lambda1vrlauncher,opensource,4.68,31,https://sidequestvr.com/app/641/lambda1vr-launcher
homeplatebaseballapplab,paid,3.69,13,https://sidequestvr.com/app/27/home-plate-baseball-app-lab
attackontitanrevive-fangame,free,3.19,21,https://sidequestvr.com/app/6099/attack-on-titan-revive-fan-game
slowp,free,4.54,26,https://sidequestvr.com/app/1322/slowp
