,name,price_type,rating,rating_count,url
0,pavlov:shack,free,4.54,1677,https://sidequestvr.com/app/392/pavlov-shack
1,attackonquest,free,4.55,1176,https://sidequestvr.com/app/502/attack-on-quest
2,virtualdesktop,paid,4.49,574,https://sidequestvr.com/app/16/virtual-desktop
3,questcraft,opensource,3.54,1240,https://sidequestvr.com/app/7150/questcraft
4,physicsplayground(experimental),demo,4.48,936,https://sidequestvr.com/app/218/physics-playground-experimental
5,gorillatag,free,4.73,1215,https://sidequestvr.com/app/2157/gorilla-tag
6,bmbf,free,4.04,541,https://sidequestvr.com/app/747/bmbf
7,battletalent,demo,4.72,623,https://sidequestvr.com/app/2348/battle-talent
8,crisisvrigade,paid,4.52,446,https://sidequestvr.com/app/38/crisis-vrigade
9,v-speedway,free,4.49,227,https://sidequestvr.com/app/458/v-speedway
10,discovery,free,3.53,116,https://sidequestvr.com/app/3002/discovery
11,ancientdungeon,paid,4.88,574,https://sidequestvr.com/app/1520/ancient-dungeon
12,handphysicslab,paid,4.45,180,https://sidequestvr.com/app/750/hand-physics-lab
13,doom3quest,opensource,4.68,204,https://sidequestvr.com/app/2651/doom3quest
14,sportmode,paid,4.75,237,https://sidequestvr.com/app/3751/sport-mode
15,teaforgod(underdevelopment),prerelease,4.75,446,https://sidequestvr.com/app/65/tea-for-god-under-development
16,hyperdash,paid,4.79,464,https://sidequestvr.com/app/807/hyper-dash
17,fivenightsatfreddy'ssisterlocationvrfangame,free,4.32,120,https://sidequestvr.com/app/2233/five-nights-at-freddys-sister-location-vr-fan-game
18,lambda1vr-half-lifeinvr,opensource,4.46,289,https://sidequestvr.com/app/124/lambda1vr-half-life-in-vr
19,hibow(betaversion),prerelease,4.65,411,https://sidequestvr.com/app/967/hibow-beta-version
20,brisksquare-earlyaccess,free,4.77,191,https://sidequestvr.com/app/3944/brisk-square-early-access
21,deisim,paid,4.7,279,https://sidequestvr.com/app/85/deisim
22,questzdoom,free,4.82,198,https://sidequestvr.com/app/796/questzdoom
23,voxelworksquest(prototype),opensource,3.94,238,https://sidequestvr.com/app/431/voxel-works-quest-prototype
24,gymclass-basketballvr,prerelease,4.59,138,https://sidequestvr.com/app/1781/gym-class-basketball-vr
25,vrtuos,free,4.13,77,https://sidequestvr.com/app/494/vrtuos
26,paradiddle,prerelease,4.59,75,https://sidequestvr.com/app/1524/paradiddle
27,warplanes:ww1fighters,paid,4.75,204,https://sidequestvr.com/app/2536/warplanes-ww1-fighters
28,grannyvr(unofficial),free,4.32,69,https://sidequestvr.com/app/3585/granny-vr-unofficial
29,fridaynightfunkin'vr,opensource,4.06,239,https://sidequestvr.com/app/4089/friday-night-funkin-vr
30,alvr-oculusquest,opensource,3.9,121,https://sidequestvr.com/app/9/alvr-oculus-quest
31,hax,free,4.79,193,https://sidequestvr.com/app/3366/hax
32,oceancraft-applab+demo,demo,4.54,85,https://sidequestvr.com/app/3001/oceancraft-applab-demo
33,yur,free,4.52,290,https://sidequestvr.com/app/270/yur
34,customhome:minecraftvillage,free,4.28,74,https://sidequestvr.com/app/3899/custom-home-minecraft-village
35,touringkarts,free,3.84,44,https://sidequestvr.com/app/4262/touring-karts
36,climbeydemo,free,4.5,109,https://sidequestvr.com/app/331/climbey-demo
37,projectterminusbeta,demo,4.55,195,https://sidequestvr.com/app/467/project-terminus-beta
38,sail-freedemo,demo,4.23,102,https://sidequestvr.com/app/1339/sail-free-demo
39,gunraiders,free,4.59,99,https://sidequestvr.com/app/3391/gun-raiders
40,travrsal-entertheholodeck,prerelease,4.75,195,https://sidequestvr.com/app/449/travrsal-enter-the-holodeck
41,gladius,paidprerelease,4.65,100,https://sidequestvr.com/app/1707/gladius
42,liminal,free,4.72,107,https://sidequestvr.com/app/1042/liminal
43,groovr-airdrumming,paidprerelease,4.18,85,https://sidequestvr.com/app/1672/groovr-air-drumming
44,contractorsvrquest,paid,4.41,212,https://sidequestvr.com/app/1205/contractors-vr-quest
45,ultraheight:mistcityclimb,paid,4.87,31,https://sidequestvr.com/app/3515/ultra-height-mist-city-climb
46,descentalps,paid,4.45,121,https://sidequestvr.com/app/668/descent-alps
47,tritonvr,prerelease,4.18,79,https://sidequestvr.com/app/433/triton-vr
48,puzzlingplaces,paid,4.92,450,https://sidequestvr.com/app/809/puzzling-places
49,plutosphere,prerelease,4.4,438,https://sidequestvr.com/app/3247/plutosphere
50,vanishinggrace-pre-alphademo,demo,4.52,139,https://sidequestvr.com/app/772/vanishing-grace-pre-alpha-demo
51,crisisvrigade2,paid,4.46,48,https://sidequestvr.com/app/2927/crisis-vrigade-2
52,play'avrvideoplayer,free,3.2,35,https://sidequestvr.com/app/280/playa-vr-video-player
53,attackontitanvr:byslavkaquestport,free,4.16,102,https://sidequestvr.com/app/6399/attack-on-titan-vr-by-slavka-quest-port
54,revomon(beta),prerelease,3.71,157,https://sidequestvr.com/app/4936/revomon-beta
55,thesilkworm,free,4.08,37,https://sidequestvr.com/app/3904/the-silkworm
56,harvestvr,prerelease,4.36,69,https://sidequestvr.com/app/1014/harvest-vr
57,gunworldvr,demo,4.17,36,https://sidequestvr.com/app/5220/gunworld-vr
58,pick-upleaguehockey,paid,4.33,36,https://sidequestvr.com/app/22/pick-up-league-hockey
59,(unofficial)slendermantheeightpagesvr,free,3.99,84,https://sidequestvr.com/app/787/unofficial-slenderman-the-eight-pages-vr
60,let'sgochopping!-earlyaccessdemo,demo,4.61,121,https://sidequestvr.com/app/1585/lets-go-chopping-early-access-demo
61,quake2quest,opensource,4.9,80,https://sidequestvr.com/app/353/quake2quest
62,birdrunners,free,4.18,228,https://sidequestvr.com/app/7310/bird-runners
63,questapplauncher,free,4.11,45,https://sidequestvr.com/app/199/quest-app-launcher
64,weareonedemo,prerelease,4.92,248,https://sidequestvr.com/app/724/we-are-one-demo
65,returntocastlewolfensteinvr,opensource,4.81,131,https://sidequestvr.com/app/1446/return-to-castle-wolfenstein-vr
66,carparkingsimulator,paid,4.67,55,https://sidequestvr.com/app/812/car-parking-simulator
67,missionx,free,4.11,27,https://sidequestvr.com/app/474/mission-x
68,highseas,free,4.24,90,https://sidequestvr.com/app/359/high-seas
69,vrworkout-bootcamp,free,4.65,77,https://sidequestvr.com/app/413/vrworkout-bootcamp
70,operationserpens,paid,4.75,362,https://sidequestvr.com/app/1197/operation-serpens
71,verticalshift,free,4.59,44,https://sidequestvr.com/app/3174/vertical-shift
