,name,price_type,rating,rating_count,url,click,view
0,pavlov:shack,free,4.54,1677,https://sidequestvr.com/app/392/pavlov-shack,1.4M,2M
1,attackonquest,free,4.55,1176,https://sidequestvr.com/app/502/attack-on-quest,832.5k,1.5M
2,virtualdesktop,paid,4.49,574,https://sidequestvr.com/app/16/virtual-desktop,854.1k,1.3M
3,questcraft,opensource,3.54,1240,https://sidequestvr.com/app/7150/questcraft,756.8k,1.1M
4,physicsplayground(experimental),demo,4.48,936,https://sidequestvr.com/app/218/physics-playground-experimental,603.2k,1.1M
5,gorillatag,free,4.73,1215,https://sidequestvr.com/app/2157/gorilla-tag,538.1k,823.8k
6,bmbf,free,4.04,541,https://sidequestvr.com/app/747/bmbf,567k,767k
7,battletalent,demo,4.72,623,https://sidequestvr.com/app/2348/battle-talent,413k,662.7k
8,crisisvrigade,paid,4.52,446,https://sidequestvr.com/app/38/crisis-vrigade,413.4k,905.7k
9,v-speedway,free,4.49,227,https://sidequestvr.com/app/458/v-speedway,382.8k,597.6k
10,discovery,free,3.53,116,https://sidequestvr.com/app/3002/discovery,388.6k,839.1k
11,ancientdungeon,paid,4.88,574,https://sidequestvr.com/app/1520/ancient-dungeon,325.7k,639.9k
12,handphysicslab,paid,4.45,180,https://sidequestvr.com/app/750/hand-physics-lab,329.9k,563.9k
13,doom3quest,opensource,4.68,204,https://sidequestvr.com/app/2651/doom3quest,243.2k,579k
14,sportmode,paid,4.75,237,https://sidequestvr.com/app/3751/sport-mode,237.8k,389.6k
15,teaforgod(underdevelopment),prerelease,4.75,446,https://sidequestvr.com/app/65/tea-for-god-under-development,216.6k,500.3k
16,hyperdash,paid,4.79,464,https://sidequestvr.com/app/807/hyper-dash,207.8k,437.9k
17,fivenightsatfreddy'ssisterlocationvrfangame,free,4.32,120,https://sidequestvr.com/app/2233/five-nights-at-freddys-sister-location-vr-fan-game,233.6k,428.4k
18,lambda1vr-half-lifeinvr,opensource,4.46,289,https://sidequestvr.com/app/124/lambda1vr-half-life-in-vr,214k,632.9k
19,hibow(betaversion),prerelease,4.65,411,https://sidequestvr.com/app/967/hibow-beta-version,195.2k,470k
20,brisksquare-earlyaccess,free,4.77,191,https://sidequestvr.com/app/3944/brisk-square-early-access,202.9k,440.7k
21,deisim,paid,4.7,279,https://sidequestvr.com/app/85/deisim,189.3k,551.9k
22,questzdoom,free,4.82,198,https://sidequestvr.com/app/796/questzdoom,190.1k,459k
23,voxelworksquest(prototype),opensource,3.94,238,https://sidequestvr.com/app/431/voxel-works-quest-prototype,179.5k,456.1k
24,gymclass-basketballvr,prerelease,4.59,138,https://sidequestvr.com/app/1781/gym-class-basketball-vr,184.3k,329.4k
25,vrtuos,free,4.13,77,https://sidequestvr.com/app/494/vrtuos,182k,435.9k
26,paradiddle,prerelease,4.59,75,https://sidequestvr.com/app/1524/paradiddle,178.7k,274k
27,warplanes:ww1fighters,paid,4.75,204,https://sidequestvr.com/app/2536/warplanes-ww1-fighters,143.2k,280.2k
28,grannyvr(unofficial),free,4.32,69,https://sidequestvr.com/app/3585/granny-vr-unofficial,154.5k,267.7k
29,fridaynightfunkin'vr,opensource,4.06,239,https://sidequestvr.com/app/4089/friday-night-funkin-vr,138.1k,340.5k
30,alvr-oculusquest,opensource,3.9,121,https://sidequestvr.com/app/9/alvr-oculus-quest,147.9k,350.2k
31,hax,free,4.79,193,https://sidequestvr.com/app/3366/hax,138.7k,320.8k
32,oceancraft-applab+demo,demo,4.54,85,https://sidequestvr.com/app/3001/oceancraft-applab-demo,141.4k,295.3k
33,yur,free,4.52,290,https://sidequestvr.com/app/270/yur,119.9k,418k
34,customhome:minecraftvillage,free,4.28,74,https://sidequestvr.com/app/3899/custom-home-minecraft-village,137.6k,244.1k
35,touringkarts,free,3.84,44,https://sidequestvr.com/app/4262/touring-karts,138.8k,219.4k
